,text,y
141,"baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .
",3
142,"the name says it all .
",2
143,"the kind of primal storytelling that george lucas can only dream of .
",3
144,"it 's been 20 years since 48 hrs .
",2
145,"uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .
",4
146,"the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .
",0
147,"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .
",0
148,"he seems to want both , but succeeds in making neither .
",1
149,"funny , though .
",2
150,"by turns fanciful , grisly and engagingly quixotic .
",3
151,"the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .
",3
152,"unofficially , national lampoon 's van wilder is son of animal house .
",2
153,"it never is , not fully .
",2
154,"it 's just a little too self-satisfied .
",2
155,"i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...
",0
156,"those who want to be jolted out of their gourd should drop everything and run to ichi .
",3
157,"post 9\/11 the philosophical message of `` personal freedom first '' might not be as palatable as intended .
",2
158,"mr. deeds is , as comedy goes , very silly -- and in the best way .
",4
159,"this amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as greenfingers ...
",3
160,"my little eye is the best little `` horror '' movie i 've seen in years .
",4
161,"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .
",1
162,"it may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .
",3
163,"suffers from a flat script and a low budget .
",1
164,"the movie is well done , but slow .
",1
165,"the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel .
",2
166,"the master of disguise is awful .
",0
167,"it 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .
",2
168,"same song , second verse , coulda been better , but it coulda been worse .
",2
169,"the film is one of the year 's best .
",4
170,"that the chuck norris `` grenade gag '' occurs about 7 times during windtalkers is a good indication of how serious-minded the film is .
",2
171,"frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for .
",2
172,"one of the year 's most weirdly engaging and unpredictable character pieces .
",4
173,"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .
",1
174,"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .
",0
175,"`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .
",1
176,"the most surprising thing about this film is that they are actually releasing it into theaters .
",0
177,"... one resurrection too many .
",1
178,"oh , look at that clever angle !
",3
179,"warmed-over hash .
",2
180,"no , i hate it .
",0
181,"for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .
",3
182,"the casting of raymond j. barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .
",3
183,"the film is like sitting in a downtown caf챕 , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .
",0
184,"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .
",3
185,"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .
",4
186,"an hour and a half of joyful solo performance .
",4
187,"contrived pastiche of caper clich챕s .
",1
188,"a triumph , a film that hews out a world and carries us effortlessly from darkness to light .
",4
189,"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .
",3
190,"kinnear 's performance is a career-defining revelation .
",4
191,"not only a reminder of how they used to make movies , but also how they sometimes still can be made .
",3
192,"the dragons are the real stars of reign of fire and you wo n't be disappointed .
",3
193,"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .
",0
194,"for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .
",4
195,"scherfig , who has had a successful career in tv , tackles more than she can handle .
",1
196,"really dumb but occasionally really funny .
",2
197,"this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .
",1
198,"by the end of the movie , you 're definitely convinced that these women are spectacular .
",3
199,"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !
",0
200,"largely , this is a movie that also does it by the numbers .
",2
201,"the modern-day royals have nothing on these guys when it comes to scandals .
",1
202,"essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .
",1
203,"it does n't really know or care about the characters , and uses them as markers for a series of preordained events .
",1
204,"` opening up ' the play more has partly closed it down .
",1
205,"even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .
",3
206,"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .
",0
207,"every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .
",4
208,"the imax screen enhances the personal touch of manual animation .
",4
209,"coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .
",1
210,"as pedestrian as they come .
",0
211,"why , you may ask , why should you buy the movie milk when the tv cow is free ?
",1
212,"sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .
",0
213,"that 's fun for kids of any age .
",4
214,"raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .
",4
215,"a colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters .
",4
216,"frank mcklusky c.i. is that movie !
",2
217,"a rip-roaring comedy action fest that 'll put hairs on your chest .
",3
218,"the premise of jason x is silly but strangely believable .
",3
219,"the modern-day characters are nowhere near as vivid as the 19th-century ones .
",1
220,"chelsea walls is a case of too many chefs fussing over too weak a recipe .
",1
221,"the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .
",3
222,"plods along , minus the twisted humor and eye-popping visuals that have made miike ... a cult hero .
",2
223,"-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .
",1
224,"contradicts everything we 've come to expect from movies nowadays .
",3
225,"there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .
",3
226,"the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .
",1
227,"the solid filmmaking and convincing characters makes this a high water mark for this genre .
",4
228,"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .
",4
229,"and a very rainy day .
",2
230,"with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .
",4
231,"the film has a childlike quality about it .
",2
232,"a really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film .
",2
233,"gone are the flamboyant mannerisms that are the trademark of several of his performances .
",2
234,"funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .
",4
235,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .
",0
236,"unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .
",1
237,"schrader examines crane 's decline with unblinking candor .
",3
238,"count on his movie to work at the back of your neck long after you leave the theater .
",2
239,"that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy .
",3
240,"you would n't want to live waydowntown , but it is a hilarious place to visit .
",3
241,"the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process .
",4
242,"there 's not one decent performance from the cast and not one clever line of dialogue .
",0
243,"translation : ` we do n't need to try very hard . '
",1
244,"return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .
",4
245,"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .
",1
246,"in many ways , reminiscent of 1992 's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue .
",2
247,"caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .
",3
248,"a captivating and intimate study about dying and loving ...
",4
249,"oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .
",0
250,"the world needs more filmmakers with passionate enthusiasms like martin scorsese .
",4
251,"the director seems to take an unseemly pleasure in -lrb- the characters ' -rrb- misery and at the same time to congratulate himself for having the guts to confront it .
",1
252,"the history is fascinating ; the action is dazzling .
",4
253,"the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful .
",3
254,"i also believe that resident evil is not it .
",1
255,"if only there were one for this kind of movie .
",2
256,"offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film .
",4
257,"it may be about drug dealers , kidnapping , and unsavory folks , but the tone and pacing are shockingly intimate .
",2
258,"meeting , even exceeding expectations , it 's the best sequel since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .
",4
259,"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .
",4
260,"not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season .
",4
261,"... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .
",1
262,"death to smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke .
",1
263,"spielberg 's picture is smarter and subtler than -lrb- total recall and blade runner -rrb- , although its plot may prove too convoluted for fun-seeking summer audiences .
",3
264,"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character .
",1
265,"smaller numbered kidlets will enjoy .
",3
266,"offers no new insight on the matter , nor do its characters exactly spring to life .
",0
267,"i 'm convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking .
",1
268,"the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does not do them justice .
",1
269,"the characters are more deeply thought through than in most ` right-thinking ' films .
",3
270,"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .
",3
271,"with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard .
",0
272,"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .
",0
273,"you see robin williams and psycho killer , and you think , hmmmmm .
",2
274,"cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ... but it 's still damn funny stuff .
",3
275,"much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice .
",3
276,"one of the best looking and stylish animated movies in quite a while ...
",4
277,"the armenian genocide deserves a more engaged and honest treatment .
",2
278,"light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in birthday girl -- it 's simply , and surprisingly , a nice , light treat .
",4
279,"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .
",3
280,"sayles ... once again strands his superb performers in the same old story .
",1
281,"high crimes carries almost no organic intrigue as a government \/ marine\/legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .
",1
282,"nicole kidman makes it a party worth attending .
",4
283,"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy .
",3
284,"the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman 's posthumously published cult novel .
",3
285,"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .
",1
286,"this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie .
",0
287,"there 's some outrageously creative action in the transporter ... -lrb- b -rrb- ut by the time frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .
",1
288,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .
",3
289,"it might be ` easier ' to watch on video at home , but that should n't stop die-hard french film connoisseurs from going out and enjoying the big-screen experience .
",3
290,"new yorkers always seem to find the oddest places to dwell ...
",2
291,"-lrb- reno -rrb- delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .
",3
292,"rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust .
",3
293,"more good than great but freeman and judd make it work .
",3
294,"it 's nice to see piscopo again after all these years , and chaykin and headly are priceless .
",3
295,"never again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction .
",3
296,"if the last man were the last movie left on earth , there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows .
",1
297,"she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .
",3
298,"this is an interesting movie ! ''
",4
299,"it 's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .
",0
300,"might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people .
",2
301,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .
",0
302,"are monsters born , or made ?
",2
303,"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .
",0
304,"only at the prospect of beck 's next project .
",2
305,"consider this review life-affirming .
",2
306,"like a can of 2-day old coke .
",0
307,"this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .
",3
308,"yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i did n't .
",0
309,"rodriguez ... was unable to reproduce the special spark between the characters that made the first film such a delight .
",2
310,"jones helps breathe some life into the insubstantial plot , but even he is overwhelmed by predictability .
",2
311,"that the film opens with maggots crawling on a dead dog is not an out of place metaphor .
",1
312,"if the plot seems a bit on the skinny side , that 's because panic room is interested in nothing more than sucking you in ... and making you sweat .
",3
313,"drumline ably captures the complicated relationships in a marching band .
",3
314,"the entire cast is first-rate , especially sorvino .
",4
315,"it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .
",0
316,"nothing about this movie works .
",0
317,"a solidly entertaining little film .
",3
318,"if the movie were all comedy , it might work better .
",2
319,"-lrb- `` safe conduct '' -rrb- is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .
",3
320,"although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel .
",3
321,"a hit - and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .
",1
322,"this is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery .
",4
323,"hey everybody , wanna watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ?
",0
324,"it makes compelling , provocative and prescient viewing .
",4
325,"a flawed but engrossing thriller .
",3
326,"never comes together as a coherent whole .
",1
327,"a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .
",0
328,"what sets ms. birot 's film apart from others in the genre is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .
",3
329,"like most of jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand .
",1
330,"it 's a wise and powerful tale of race and culture forcefully told , with superb performances throughout .
",4
331,"one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm .
",4
332,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .
",0
333,"i have to admit that i am baffled by jason x.
",1
334,"the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .
",3
335,"a rip-off twice removed , modeled after -lrb- seagal 's -rrb- earlier copycat under siege , sometimes referred to as die hard on a boat .
",0
336,"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .
",4
337,"that 's muy loco , but no more ridiculous than most of the rest of `` dragonfly . ''
",1
338,"but the movie that does n't really deliver for country music fans or for family audiences
",0
339,"if you answered yes , by all means enjoy the new guy .
",3
340,"generates an enormous feeling of empathy for its characters .
",3
341,"the low-key direction is pleasingly emphatic in this properly intense , claustrophobic tale of obsessive love .
",3
342,"those prone to indignation need not apply ; those susceptible to blue hilarity , step right up .
",3
343,"now he makes them .
",2
344,"an intriguing look at the french film industry during the german occupation ; its most delightful moments come when various characters express their quirky inner selves .
",3
345,"would make an excellent companion piece to the similarly themed ` the french lieutenant 's woman . '
",3
346,"if you like quirky , odd movies and\/or the ironic , here 's a fun one .
",4
347,"no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .
",0
348,"woody allen can write and deliver a one liner as well as anybody .
",4
349,"kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .
",2
350,"the most consistently funny of the austin powers films .
",3
351,"it 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate gantz brothers as ordinary , pasty lumpen .
",3
352,"the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible .
",2
353,"paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .
",3
354,"the plot has a number of holes , and at times it 's simply baffling .
",1
355,"most folks with a real stake in the american sexual landscape will find it either moderately amusing or just plain irrelevant .
",2
356,"the redeeming feature of chan 's films has always been the action , but the stunts in the tuxedo seem tired and , what 's worse , routine .
",1
357,"amazingly lame .
",0
